0 -30.14789711 -98.62375632
0 -35.43956711 -25.20187632
0 -73.35482711 -113.0424863
0 -14.48503711 -91.87581632
0 -22.21039711 1.256453684
0 -118.2513171 -76.82763632
0 -86.58399711 -123.6258163
0 -8.531917105 -75.33935632
0 118.4680829 -68.06331632
0 -16.91872711 33.00645368
0 -145.3711071 -113.8693063
0 -130.1575671 -68.22868632
0 69.52017289 -17.13102632
0 179.9837129 -66.07894632
0 14.16981289 66.07937368
0 -149.3392871 -138.3421463
0 -59.46420711 32.47835368
0 -184.3971471 -6.713056316
0 213.4781229 -56.47544632
0 9.989482895 79.77374368
0 20.73762289 40.41585368
0 30.04481289 77.98562368
0 -111.0579571 34.79345368
0 -48.21941711 58.60595368
0 -231.3606871 13.79215368
0 391.8625229 31.02208368
0 193.6343729 -44.56919632
0 -156.0371171 39.42366368
0 -111.0585171 34.79233368
0 9.988922894 79.77262368
0 184.3739529 -16.78794632
0 -346.5371271 26.19449368
0 118.8455929 127.7603637
0 168.2896029 2.579373684
0 95.85991289 130.7369237
0 185.6968729 36.12872368
0 44.92762289 128.7525537
0 29.05262289 125.4452637
1 -79.67053035 -57.20951682
1 -127.2949604 -98.21881682
1 -161.0658104 -101.1644768
1 -25.26501035 -88.13157682
1 -206.6699604 -120.7083968
1 -12.03642035 -47.12227682
1 -27.91142035 -121.8670668
1 -172.2741304 -86.31256682
1 -286.0449604 -185.5313168
1 28.31310965 8.441343176
1 -95.58144035 28.81208318
1 -64.95308035 -156.9243568
1 -212.6236604 -193.4699268
1 -456.7017804 -271.5220168
1 -350.8684504 -171.6418068
1 42.20373965 50.11321318
1 -82.23368035 59.70324318
1 -140.5247004 42.00923318
1 -62.30668035 -172.7982368
1 82.71805965 48.62493318
1 61.38602965 82.52467318
1 -62.38936035 95.42311318
1 -73.96545035 156.9376232
1 -146.5137304 12.27562318
1 -256.9413604 68.46757318
1 -111.2551704 -208.5181068
1 -27.99410035 -240.5988368
1 245.4368096 46.64056318
1 255.1933196 146.6861332
1 28.31253965 8.440223176
1 96.44274965 163.8829332
1 27.56839965 178.7657432
1 -172.2747004 -86.31367682
1 -240.4408104 18.89021318
1 -327.7174104 74.42069318
1 -152.4309504 -224.5584768
1 -88.93038035 -278.7969368
1 233.9433996 -128.1509168
1 273.8789496 40.68632318
1 235.2668896 -95.07688682
1 218.3991296 150.3230332
1 294.2193596 164.5455132
1 112.6490496 227.7147832
1 128.4407996 166.8594932
1 61.38545965 82.52356318
1 19.96162965 202.9089732
1 -297.9517804 -49.27201682
1 -416.5541004 26.08356318
1 -466.1275604 101.2097532
1 -200.0559504 -267.5532668
1 -199.3944904 -328.4074268
1 -107.4517804 -315.1782668
1 384.0944396 -64.98164682
1 404.4810596 72.46833318
1 314.8893696 34.07173318
1 281.8164496 124.6915232
1 166.1439196 158.2605332
1 288.9271296 202.9089732
1 182.4323296 131.4714732
1 108.6797296 251.5261632
1 -41.55399035 396.3855432
1 49.72725965 340.4923132
1 -350.8684504 -51.91784682
1 -327.7168404 74.42181318
1 -463.0215404 -2.276456824
1 -204.6861604 -291.3657668
1 -152.4303804 -337.0052768
1 403.9381896 -62.99727682
1 465.4543896 4.472593176
1 577.7831496 104.2183332
1 470.6268896 149.1975032
1 386.3268696 22.82694318
1 294.2187896 164.5443932
1 315.3860296 213.4934232
1 98.75841965 293.1991532
1 -47.42387035 478.2421232
1 -202.9498304 139.7397032
1 -575.1028204 -84.32930682
1 -464.3444604 69.82250318
1 -231.8059504 -308.5636768
1 -188.1497004 -372.7251368
1 -219.2382404 -340.3136768
1 507.7871496 -65.64310682
