0 6.613846154 -0.4149230769 4.666461538
0 3.703846154 1.145076923 3.236461538
0 3.373846154 1.715076923 2.416461538
0 2.193846154 3.985076923 2.906461538
0 1.673846154 7.175076923 3.226461538
0 5.353846154 5.165076923 4.186461538
0 1.813846154 6.285076923 0.2664615385
0 2.783846154 7.385076923 3.626461538
0 1.593846154 8.585076923 0.7364615385
0 7.373846154 5.185076923 3.736461538
0 -0.506153846 5.875076923 -3.283538462
0 1.193846154 9.035076923 3.666461538
0 -1.266153846 9.065076923 1.086461538
0 7.373846154 5.185076923 2.326461538
0 2.273846154 -4.854923077 -2.623538462
0 -3.016153846 5.545076923 -4.353538462
0 1.183846154 9.035076923 4.086461538
0 -3.186153846 12.50507692 0.9664615385
0 4.983846154 -14.39492308 -1.733538462
0 2.373846154 -8.724923077 -3.613538462
0 -3.526153846 13.68507692 -4.553538462
0 2.303846154 11.20507692 3.976461538
0 -2.746153846 12.64507692 1.146461538
0 3.873846154 -20.55492308 -1.363538462
0 1.883846154 -0.8049230769 -1.523538462
0 -2.396153846 -10.76492308 -4.773538462
0 -6.586153846 17.93507692 -5.223538462
0 0.483846154 11.74507692 2.466461538
0 -3.976153846 12.74507692 2.076461538
0 -2.086153846 12.58507692 1.036461538
0 2.013846154 -21.85492308 0.6264615385
0 10.23384615 -23.73492308 2.326461538
0 1.413846154 -16.35492308 1.596461538
0 1.723846154 -18.43492308 -1.033538462
0 2.913846154 -1.964923077 6.776461538
0 -5.136153846 -9.074923077 -4.973538462
0 -13.88615385 20.00507692 -6.223538462
0 -4.836153846 13.29507692 2.636461538
0 -0.456153846 -20.70492308 0.9064615385
0 16.09384615 -26.17492308 4.336461538
0 3.503846154 -17.86492308 3.066461538
0 5.173846154 -20.94492308 1.446461538
0 4.633846154 -3.694923077 7.386461538
0 -7.376153846 -6.954923077 -6.483538462
0 -12.83615385 27.70507692 -7.383538462
0 -16.53615385 20.14507692 -5.483538462
0 -7.086153846 15.06507692 3.526461538
0 -2.526153846 -19.27492308 1.146461538
0 18.86384615 -23.93492308 4.496461538
0 6.363846154 -17.58492308 4.666461538
0 10.72384615 -23.51492308 3.976461538
0 7.053846154 -6.824923077 8.446461538
0 -10.47615385 -1.844923077 -17.35353846
0 -11.67615385 32.96507692 -10.61353846
0 -18.97615385 16.79507692 -6.463538462
0 -9.086153846 15.70507692 3.686461538
0 -4.526153846 -17.88492308 -0.5635384615
0 24.04384615 -27.55492308 4.766461538
0 7.653846154 -17.69492308 4.016461538
0 10.69384615 -26.22492308 6.956461538
0 10.99384615 -12.45492308 11.01646154
0 -15.11615385 2.565076923 -15.38353846
0 -12.55615385 39.12507692 -11.70353846
0 -8.406153846 28.54507692 -5.933538462
0 -17.71615385 15.73507692 -7.003538462
1 6.564352941 -2.253529412 5.127882353
1 3.654352941 -0.6935294118 3.697882353
1 3.324352941 -0.1235294118 2.877882353
1 2.144352941 2.146470588 3.367882353
1 5.304352941 3.326470588 4.647882353
1 1.624352941 5.336470588 3.687882353
1 1.764352941 4.446470588 0.7278823529
1 7.324352941 3.346470588 4.197882353
1 2.734352941 5.546470588 4.087882353
1 1.544352941 6.746470588 1.197882353
1 -0.5556470588 4.036470588 -2.822117647
1 7.324352941 3.346470588 2.787882353
1 1.144352941 7.196470588 4.127882353
1 -1.315647059 7.226470588 1.547882353
1 -3.065647059 3.706470588 -3.892117647
1 2.224352941 -6.693529412 -2.162117647
1 1.134352941 7.196470588 4.547882353
1 -3.235647059 10.66647059 1.427882353
1 -3.575647059 11.84647059 -4.092117647
